Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31
ACHALPUR,42,PRAVIN VASANTRAO TAYADE,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,BACCHU B. KADU,"Prahar Janshakti Party
iParty Wise State TrendsLeading In:0Won In:0Trailing In:0",Prahar Janshakti Party,iParty Wise State TrendsLeading In:0Won In:0Trailing In:0,Leading In,:,0,Won In,:,0,Trailing In,:,0,12131,23/23,Result Declared
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prahar Janshakti Party,iParty Wise State TrendsLeading In:0Won In:0Trailing In:0,Leading In,:,0,Won In,:,0,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHERI,69,ATRAM DHARAMRAOBABA BHAGWANTRAO,Nationalist Congress PartyiParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,RAJE AMBRISH RAO RAJE SATYAVANRAO ATRAM,"Independent
iParty Wise State TrendsLeading In:0Won In:2Trailing In:0",Independent,iParty Wise State TrendsLeading In:0Won In:2Trailing In:0,Leading In,:,0,Won In,:,2,Trailing In,:,0,16814,22/22,Result Declared
Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Independent,iParty Wise State TrendsLeading In:0Won In:2Trailing In:0,Leading In,:,0,Won In,:,2,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHMADPUR,236,BABASAHEB MOHANRAO PATIL,Nationalist Congress PartyiParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,JADHAV PATIL VINAYAKRAO KISHANRAO,"Nationalist Congress Party – Sharadchandra Pawar
iParty Wise State TrendsLeading In:0Won In:10Trailing In:0",Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,31669,27/27,Result Declared
Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHMEDNAGAR CITY,225,SANGRAM ARUNKAKA JAGTAP,Nationalist Congress PartyiParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,ABHISHEK BALASAHEB KALAMKAR,"Nationalist Congress Party – Sharadchandra Pawar
iParty Wise State TrendsLeading In:0Won In:10Trailing In:0",Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,39618,23/23,Result Declared
Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIROLI,150,GANESH RAMCHANDRA NAIK,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,CHOUGULE VIJAY LAXMAN,"Independent
iParty Wise State TrendsLeading In:0Won In:2Trailing In:0",Independent,iParty Wise State TrendsLeading In:0Won In:2Trailing In:0,Leading In,:,0,Won In,:,2,Trailing In,:,0,91880,33/33,Result Declared
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Independent,iParty Wise State TrendsLeading In:0Won In:2Trailing In:0,Leading In,:,0,Won In,:,2,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKKALKOT,250,KALYANSHETTI SACHIN PANCHAPPA,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,SIDDHARAM SATLINGAPPA MHETRE,"Indian National Congress
iParty Wise State TrendsLeading In:0Won In:16Trailing In:0",Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,49572,26/26,Result Declared
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKKALKUWA,1,AMSHYA FULJI PADVI,Shiv SenaiParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Shiv Sena,iParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Leading In,:,0,Won In,:,57,Trailing In,:,0,ADV K C PADAVI,"Indian National Congress
iParty Wise State TrendsLeading In:0Won In:16Trailing In:0",Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,2904,27/27,Result Declared
Shiv Sena,iParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Leading In,:,0,Won In,:,57,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKOLA EAST,31,RANDHIR PRALHADRAO SAWARKAR,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,GOPAL ALIAS ASHISH RAMRAO DATKAR,"Shiv Sena (Uddhav Balasaheb Thackeray)
iParty Wise State TrendsLeading In:0Won In:20Trailing In:0",Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,50613,26/26,Result Declared
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKOLA WEST,30,SAJID KHAN PATHAN,Indian National CongressiParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,AGRAWAL VIJAY KAMALKISHOR,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:132Trailing In:0",Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,1283,22/22,Result Declared
Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKOLE,216,DR. KIRAN YAMAJI LAHAMATE,Nationalist Congress PartyiParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,AMIT ASHOK BHANGARE,"Nationalist Congress Party – Sharadchandra Pawar
iParty Wise State TrendsLeading In:0Won In:10Trailing In:0",Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,5556,22/22,Result Declared
Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKOT,28,PRAKASH GUNWANT BHARSAKLE,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,GANGANE MAHESH SUDHAKARRAO,"Indian National Congress
iParty Wise State TrendsLeading In:0Won In:16Trailing In:0",Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,18851,25/25,Result Declared
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALIBAG,192,MAHENDRA HARI DALVI,Shiv SenaiParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Shiv Sena,iParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Leading In,:,0,Won In,:,57,Trailing In,:,0,CHITRALEKHA NRUPAL PATIL ALIAS CHIUTAI,"Peasants And Workers Party of India
iParty Wise State TrendsLeading In:0Won In:1Trailing In:0",Peasants And Workers Party of India,iParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Leading In,:,0,Won In,:,1,Trailing In,:,0,29565,27/27,Result Declared
Shiv Sena,iParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Leading In,:,0,Won In,:,57,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peasants And Workers Party of India,iParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Leading In,:,0,Won In,:,1,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMALNER,15,ANIL BHAIDAS PATIL,Nationalist Congress PartyiParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,SHIRISH HIRALAL CHAUDHARI,"Independent
iParty Wise State TrendsLeading In:0Won In:2Trailing In:0",Independent,iParty Wise State TrendsLeading In:0Won In:2Trailing In:0,Leading In,:,0,Won In,:,2,Trailing In,:,0,33435,24/24,Result Declared
Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Independent,iParty Wise State TrendsLeading In:0Won In:2Trailing In:0,Leading In,:,0,Won In,:,2,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBEGAON,196,DILIP DATTATRAY WALSE PATIL,Nationalist Congress PartyiParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,DEVDATTA JAYVANTRAO NIKAM,"Nationalist Congress Party – Sharadchandra Pawar
iParty Wise State TrendsLeading In:0Won In:10Trailing In:0",Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,1523,20/20,Result Declared
Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBERNATH,140,DR. BALAJI PRALHAD KINIKAR,Shiv SenaiParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Shiv Sena,iParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Leading In,:,0,Won In,:,57,Trailing In,:,0,RAJESH DEVENDRA WANKHEDE,"Shiv Sena (Uddhav Balasaheb Thackeray)
iParty Wise State TrendsLeading In:0Won In:20Trailing In:0",Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,51375,27/27,Result Declared
Shiv Sena,iParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Leading In,:,0,Won In,:,57,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMGAON,66,SANJAY PURAM,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,RAJKUMAR LOTUJI PURAM,"Indian National Congress
iParty Wise State TrendsLeading In:0Won In:16Trailing In:0",Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,32721,23/23,Result Declared
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMRAVATI,38,SULBHA SANJAY KHODKE,Nationalist Congress PartyiParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,DR. SUNIL PANJABRAO DESHMUKH,"Indian National Congress
iParty Wise State TrendsLeading In:0Won In:16Trailing In:0",Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,5413,25/25,Result Declared
Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDHERI EAST,166,MURJI PATEL (KAKA),Shiv SenaiParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Shiv Sena,iParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Leading In,:,0,Won In,:,57,Trailing In,:,0,RUTUJA RAMESH LATKE,"Shiv Sena (Uddhav Balasaheb Thackeray)
iParty Wise State TrendsLeading In:0Won In:20Trailing In:0",Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,25486,19/19,Result Declared
Shiv Sena,iParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Leading In,:,0,Won In,:,57,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDHERI WEST,165,AMEET BHASKAR SATAM,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,ASHOK BHAU JADHAV,"Indian National Congress
iParty Wise State TrendsLeading In:0Won In:16Trailing In:0",Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,19599,22/22,Result Declared
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANUSHAKTI NAGAR,172,SANA MALIK,Nationalist Congress PartyiParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,FAHAD AHMAD,"Nationalist Congress Party – Sharadchandra Pawar
iParty Wise State TrendsLeading In:0Won In:10Trailing In:0",Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,3378,19/19,Result Declared
Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
